t_ns,type,sensorId,px,py,pz,qx,qy,qz,qw,server_time_iso
100484682650,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:08.346863+00:00
100534675897,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:08.346909+00:00
100601282545,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:08.427754+00:00
100668018745,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:08.515473+00:00
100734686717,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:08.597377+00:00
100801388522,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:08.597425+00:00
100868053129,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:08.682447+00:00
100934743924,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:08.762615+00:00
100984717674,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:08.842984+00:00
101051402047,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:08.843033+00:00
101118318634,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:08.926396+00:00
101184735537,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:09.005922+00:00
101251414931,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:09.087666+00:00
101318076391,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:09.167498+00:00
101384729104,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:09.247793+00:00
101434749052,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:09.247840+00:00
101501402447,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:09.337318+00:00
101568075208,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:09.416483+00:00
101634764030,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:09.496740+00:00
101701380546,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:09.496786+00:00
101768069677,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:09.576141+00:00
101834740374,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:09.644333+00:00
101901377639,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:09.724929+00:00
101968064717,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:09.804207+00:00
102034726709,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:09.883797+00:00
102101415840,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:09.950314+00:00
102168090094,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:10.029837+00:00
102234752867,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:10.029889+00:00
102301442029,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:10.111773+00:00
102351430187,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:10.192419+00:00
102418114811,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:10.273369+00:00
102484788363,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:10.273416+00:00
102551650718,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:10.358636+00:00
102618116833,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:10.443120+00:00
102684771090,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:10.523682+00:00
102751458308,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:10.603320+00:00
102801421430,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:10.603365+00:00
102868113396,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:10.683561+00:00
102934808559,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:10.768920+00:00
103001453969,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:10.848441+00:00
103068086846,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:10.928294+00:00
103134797728,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:10.928344+00:00
103201413093,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:11.007920+00:00
103268166123,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:11.076949+00:00
103334830249,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:11.156435+00:00
103401493323,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:11.236960+00:00
103468136669,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:11.316816+00:00
103534771498,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:11.384243+00:00
103601459348,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:11.468162+00:00
103668113093,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:11.468208+00:00
103718152368,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:11.546044+00:00
103784818245,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:11.625519+00:00
103851536461,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:11.691441+00:00
103918156314,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:11.770912+00:00
103984820408,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:11.771017+00:00
104051499832,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:11.850813+00:00
104118140884,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:11.932092+00:00
104168208862,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:11.998803+00:00
104234830237,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:12.078768+00:00
104301517775,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:12.158468+00:00
104368205594,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:12.158517+00:00
104434860974,2,0,0.0,1.0,-10.0,0.0,0.0,0.0,1.0,2025-12-11T02:30:12.239079+00:00
